work_year,job_title,salary,employee_residence,work_setting,company_location
2023,Data DevOps Engineer,88000,Germany,Hybrid,Germany
2023,Data Architect,186000,United States,In-person,United States
2023,Data Architect,81800,,In-person,United States
2023,Data Scientist,212000,United States,In-person,United States
2023,,93300,United States,In-person,United States
2023,Data Scientist,130000,United States,Remote,United States
2023,Data Scientist,100000,United States,Remote,
,Machine Learning Researcher,,United States,In-person,United States
2023,Machine Learning Researcher,138700,United States,,United States
2023,Data Engineer,210000,United States,Remote,United States
2023,,168000,United States,Remote,United States
2023,Machine Learning Engineer,224400,United States,In-person,United States
2023,Machine Learning Engineer,138700,United States,In-person,United States
2023,Data Scientist,35000,United Kingdom,In-person,United Kingdom
2023,Data Scientist,30000,United Kingdom,In-person,United Kingdom
2023,Data Analyst,95000,,In-person,United States
2023,Data Analyst,75000,United States,In-person,United States
2023,Data Scientist,300000,United States,In-person,United States
2023,,234000,United States,In-person,United States
